"cptid","cpt_code","descript_short","descript_med","descript_long"
3844,"45020",DRAINAGE OF RECTAL ABSCESS,I&D DP SUPRALEVATOR PELVIRCT/RETRORCT ABSC,"Incision and drainage of deep supralevator, pelvirectal, or retrorectal abscess"
4471,"54400",INSERT SEMI-RIGID PROSTHESI,INSJ PENILE PROSTHESIS NON-INFLATABLE SEMI-RIGID,Insertion of penile prosthesis; non-inflatable (semi-rigid)
4599,"52204",CYSTOSCOPY W/BIOPSY(S),CYSTOURETHROSCOPY WITH BIOPSY,"Cystourethroscopy, with biopsy(s)"
4040,"47379",LAPAROSCOPE PROCEDURE LIVER,UNLIS LAPAROSCOPIC PROCEDURE LIVER,"Unlisted laparoscopic procedure, liver"
4687,"56740",REMOVE VAGINA GLAND LESION,EXC BARTHOLINS GLAND/CYST,Excision of Bartholin's gland or cyst
4120,"45150",EXCISION OF RECTAL STRICTUR,DIVISION STRICTURE RECTUM,Division of stricture of rectum
4248,"46280",REMOVE ANAL FIST COMPLEX,TX ANAL FSTL TRANS/SUPRA/XTRASPHNCTRC INCL SETON,"Surgical treatment of anal fistula (fistulectomy/fistulotomy); transsphincteric, suprasphincteric, extrasphincteric or multiple, including placement of seton, when performed"
4899,"55650",REMOVE SPERM DUCT POUCH,VESICULECTOMY ANY APPROACH,"Vesiculectomy, any approach"
4316,"47700",EXPLORATION OF BILE DUCTS,EXPL CONGENITAL ATRESIA BILE DUCTS,"Exploration for congenital atresia of bile ducts, without repair, with or without liver biopsy, with or without cholangiography"
4987,"61641",DILATE IC VASOSPASM ADD-ON,BALLOON DILAT INCRNL VASOSPSM PRQ EA VESSEL,"Balloon dilatation of intracranial vasospasm, percutaneous; each additional vessel in same vascular family (List separately in addition to code for primary procedure)"
5115,"59610",VBAC DELIVERY,ROUTINE OB CARE VAG DLVRY & POSTPARTUM CARE VB,"Routine obstetric care including antepartum care, vaginal delivery (with or without episiotomy, and/or forceps) and postpartum care, after previous cesarean delivery"
4528,"53600",DILATE URETHRA STRICTURE,DILAT URETHRAL STRIX DILATOR MALE 1ST,"Dilation of urethral stricture by passage of sound or urethral dilator, male; initial"
5203,"60252",REMOVAL OF THYROID,THYROIDECTOMY TOTAL/SUBTOTAL LMTD NECK DISSECT,"Thyroidectomy, total or subtotal for malignancy; with limited neck dissection"
4640,"51900",REPAIR BLADDER/VAGINA LESIO,CLSR VESICOVAGINAL FISTUL AABDL APPROACH,"Closure of vesicovaginal fistula, abdominal approach"
4768,"52640",RELIEVE BLADDER CONTRACTURE,TRURL RESCJ POSTOP BLADDER NECK CONTRACTURE,Transurethral resection; of postoperative bladder neck contracture
5411,"61885",INSRT/REDO NEUROSTIM 1 ARRA,INSJ/RPLCMT CRANIAL NEUROSTIM PULSE GENERATOR,"Insertion or replacement of cranial neurostimulator pulse generator or receiver, direct or inductive coupling; with connection to a single electrode array"
4860,"58543",LSH UTERUS ABOVE 250 G,LAPS SUPRACERVICAL HYSTERECTOMY >250,"Laparoscopy, surgical, supracervical hysterectomy, for uterus greater than 250 g;"
5487,"65286",REPAIR OF EYE WOUND,RPR LAC APPL TISSUE GLUE WOUND CORNEA&/SCLERA,"Repair of laceration; application of tissue glue, wounds of cornea and/or sclera"
4960,"56405",I & D OF VULVA/PERINEUM,I&D VULVA/PERINEAL ABSCESS,Incision and drainage of vulva or perineal abscess
5088,"61605",RESECT/EXCISE CRANIAL LESIO,RESCJ/EXC LES INFRATEMPOR FOSSA SPACE APEX XDRL,"Resection or excision of neoplastic, vascular or infectious lesion of infratemporal fossa, parapharyngeal space, petrous apex; extradural"
5699,"64435",N BLOCK INJ PARACERVICAL,INJECTION ANESTHETIC PARACERVICAL UTERINE NERVE,"Injection, anesthetic agent; paracervical (uterine) nerve"
5172,"59515",CESAREAN DELIVERY,CESAREAN DELIVERY ONLY W/POSTPARTUM CARE,Cesarean delivery only; including postpartum care
5791,"69300",REVISE EXTERNAL EAR,OTOPLASTY PROTRUDING EAR W/WO SIZE RDCTJ,"Otoplasty, protruding ear, with or without size reduction"
5919,"66170",GLAUCOMA SURGERY,FSTLJ SCLERA GLAUCOMA TRABECULECT AB EXTERNO,Fistulization of sclera for glaucoma; trabeculectomy ab externo in absence of previous surgery
5364,"62355",REMOVE SPINAL CANAL CATHETE,RMVL PREVIOUSLY IMPLTED ITHCL/EDRL CATH,Removal of previously implanted intrathecal or epidural catheter
6027,"72080",X-RAY EXAM TRUNK SPINE 2 VW,RADEX SPINE THORACOLUMBAR 2 VIEWS,"Radiologic examination, spine; thoracolumbar, 2 views"
5436,"64455",N BLOCK INJ PLANTAR DIGIT,NJX ANES&/STEROID PLANTAR COMMON DIGITAL NERVE,"Injection(s), anesthetic agent and/or steroid, plantar common digital nerve(s) (eg, Morton's neuroma)"
5564,"64746",INCISE DIAPHRAGM NERVE,TRANSECTION/AVULSION PHRENIC NERVE,Transection or avulsion of; phrenic nerve
6231,"74185",MRI ANGIO ABDOM W ORW/O DYE,MRA ABDOMEN W/WO CONTRAST MATERIAL,"Magnetic resonance angiography, abdomen, with or without contrast material(s)"
5644,"63195",INCISE SPINE & CORD THORACI,LAM CORDOTOMY SCTJ 1 SPINOTHALMIC TRACT THORACIC,"Laminectomy with cordotomy, with section of 1 spinothalamic tract, 1 stage; thoracic"
6331,"75736",ARTERY X-RAYS PELVIS,ANGIOGRAPHY PELVIC SLCTV/SUPRASLCTV RS&I,"Angiography, pelvic, selective or supraselective, radiological supervision and interpretation"
6459,"76965",ECHO GUIDANCE RADIOTHERAPY,US GUIDANCE INTERSTITIAL RADIOELMENT APPLICATION,Ultrasonic guidance for interstitial radioelement application
5888,"68840",EXPLORE/IRRIGATE TEAR DUCTS,PROBE LACRIMAL CANALICULI W/WO IRRIGATION,"Probing of lacrimal canaliculi, with or without irrigation"
6519,"77370",RADIATION PHYSICS CONSULT,SPEC MEDICAL RADJ PHYSICS CONSLTJ,Special medical radiation physics consultation
6647,"78600",BRAIN IMAGE < 4 VIEWS,BRAIN IMAGING <4 STATIC VIEWS,"Brain imaging, less than 4 static views;"
6084,"70553",MRI BRAIN STEM W/O & W/DYE,MRI BRAIN BRAIN STEM W/O W/CONTRAST MATERIAL,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material, followed by contrast material(s) and further sequences"
6723,"80331",ANALGESICS NON-OPIOID 6/MOR,DRUG SCREEN ANALGESICS NON-OPIOID 6 OR MORE,"Analgesics, non-opioid; 6 or more"
6208,"72265",MYELOGRAPHY L-S SPINE,MYELOGRAPY LUMBOSACRAL RS&I,"Myelography, lumbosacral, radiological supervision and interpretation"
6791,"81291",MTHFR GENE,MTHFR GENE ANALYSIS COMMON VARIANTS,"MTHFR (5,10-methylenetetrahydrofolate reductase) (eg, hereditary hypercoagulability) gene analysis, common variants (eg, 677T, 1298C)"
6368,"75809",NONVASCULAR SHUNT X-RAY,SHUNTOGRAM INDWELLING NONVASCULAR SHUNT RS&I,"Shuntogram for investigation of previously placed indwelling nonvascular shunt (eg, LeVeen shunt, ventriculoperitoneal shunt, indwelling infusion pump), radiological supervision and interpretation"
6496,"77055",MAMMOGRAM ONE BREAST,MAMMOGRAPHY UNILATERAL,Mammography; unilateral
7011,"82570",ASSAY OF URINE CREATININE,CREATININE OTHER SOURCE,Creatinine; other source
6620,"78232",SALIVARY GLAND FUNCTION EXA,SALIVARY GLAND FUNCTION STUDY,Salivary gland function study
7083,"82652",VIT D 1 25-DIHYDROXY,"1 25 DIHYDROXY INCLUDES FRACTIONS IF PERFORMED","Vitamin D; 1, 25 dihydroxy, includes fraction(s), if performed"
6720,"79999",NUCLEAR MEDICINE THERAPY,RP THERAPY UNLISTED PROCEDURE,"Radiopharmaceutical therapy, unlisted procedure"
6848,"80150",ASSAY OF AMIKACIN,DRUG SCREEN QUANTITATIVE AMIKACIN,Amikacin
7283,"86329",IMMUNODIFFUSION NES,IMMUNODIFFUSION NOT ELSEWHERE SPECIFIED,Immunodiffusion; not elsewhere specified
7411,"83970",ASSAY OF PARATHORMONE,ASSAY OF PARATHORMONE,Parathormone (parathyroid hormone)
6988,"81504",ONCOLOGY TISSUE OF ORIGIN,ONCOLOGY TISSUE OF ORIGIN SIMILAR SCOR ALGORITHM,"Oncology (tissue of origin), microarray gene expression profiling of > 2000 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as tissue similarity scores"
7503,"87081",CULTURE SCREEN ONLY,CUL PRSMPTV PTHGNC ORGANISM SCRN W/COLONY ESTIMJ,"Culture, presumptive, pathogenic organisms, screening only;"
7631,"86305",HUMAN EPIDIDYMIS PROTEIN 4,HUMAN EPIDIDYMIS PROTEIN 4 (HE4),Human epididymis protein 4 (HE4)
7759,"86906",BLD TYPING SEROLOGIC RH PHN,BLOOD TYPING SEROLOGIC RH PHENOTYPING COMPLETE,"Blood typing, serologic; Rh phenotyping, complete"
7128,"83633",TEST URINE FOR LACTOSE,LACTOSE URINE QUALITATIVE,"Lactose, urine, qualitative"
7256,"82541",COLUMN CHROMOTOGRAPHY QUAL,COL-CHR/MS QUAL 1 STATIONARY&MOBILE PHASE NES,"Column chromatography/mass spectrometry (eg, GC/MS, or HPLC/MS), non-drug analyte not elsewhere specified; qualitative, single stationary and mobile phase"
7911,"87496",CYTOMEG DNA AMP PROBE,IADNA CYTOMEGALOVIRUS AMPLIFIED PROBE TQ,"Infectious agent detection by nucleic acid (DNA or RNA); cytomegalovirus, amplified probe technique"
8039,"96523",IRRIG DRUG DELIVERY DEVICE,IRRIGAJ IMPLNTD VENOUS ACCESS DRUG DELIVERY SYST,Irrigation of implanted venous access device for drug delivery systems
7332,"85260",CLOT FACTOR X STUART-POWER,CLOTTING FACTOR X STUART-PROWER,Clotting; factor X (Stuart-Prower)
7460,"84100",ASSAY OF PHOSPHORUS,ASSAY OF PHOSPHORUS INORGANIC,Phosphorus inorganic (phosphate);
8159,"91035",G-ESOPH REFLX TST W/ELECTRO,GASTROESOPHAG REFLX TEST W/TELEMTRY PH ELTRD,"Esophagus, gastroesophageal reflux test; with mucosal attached telemetry pH electrode placement, recording, analysis and interpretation"
7564,"86778",TOXOPLASMA ANTIBODY IGM,ANTIBODY TOXOPLASMA IGM,"Antibody; Toxoplasma, IgM"
7692,"86155",CHEMOTAXIS ASSAY,CHEMOTAXIS ASSAY SPECIFY METHOD,"Chemotaxis assay, specify method"
8319,"90389",TETANUS IG IM,TETANUS IMMUNE GLOBULIN TIG HUMAN IM,"Tetanus immune globulin (TIg), human, for intramuscular use"
7780,"87450",AG DETECT NOS EIA SINGLE,IAAD EIA SINGLE STEP METHOD NOS EA ORGANISM,"Infectious agent antigen detection by enzyme immunoassay technique qualitative or semiquantitative; single step method, not otherwise specified, each organism"
8439,"93287",PERI-PX DEVICE EVAL & PRGR,PERI-PX DEV EVAL & PROG SING/DUAL/MULTI LEAD DFB,"Peri-procedural device evaluation (in person) and programming of device system parameters before or after a surgery, procedure, or test with analysis, review and report by a physician or other qualified health care professional; single, dual, or multiple lead implantable defibrillator system"
7928,"86816",HLA TYPING DR/DQ,HLA TYPING DR/DQ SINGLE ANTIGEN,"HLA typing; DR/DQ, single antigen"
8535,"92568",ACOUSTIC REFL THRESHOLD TST,ACOUSTIC REFLEX THRESHOLD,"Acoustic reflex testing, threshold"
8663,"93018",CARDIOVASCULAR STRESS TEST,CV STRS TST XERS&/OR RX CONT ECG I&R ONLY,"Cardiovascular stress test using maximal or submaximal treadmill or bicycle exercise, continuous electrocardiographic monitoring, and/or pharmacological stress; interpretation and report only"
8156,"90633",HEP A VACC PED/ADOL 2 DOSE,HEPATITIS A VACCINE PEDIATRIC 2 DOSE SCHEDULE IM,"Hepatitis A vaccine, pediatric/adolescent dosage-2 dose schedule, for intramuscular use"
8759,"95962",ELECTRODE STIM BRAIN ADD-ON,FUNCJAL CORT&SUBCORT MAPG PHYS/QHP ATTND ADDL HR,"Functional cortical and subcortical mapping by stimulation and/or recording of electrodes on brain surface, or of depth electrodes, to provoke seizures or identify vital brain structures; each additional hour of attendance by a physician or other qualified health care professional (List separately in addition to code for primary procedure)"
8887,"99221",INITIAL HOSPITAL CARE,INITIAL HOSPITAL CARE/DAY 30 MINUTES,"Initial hospital care, per day, for the evaluation and management of a patient, which requires these 3 key components: A detailed or comprehensive history; A detailed or comprehensive examination; and Medical decision making that is straightforward or of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission are of low severity. Typically, 30 minutes are spent at the bedside and on the patient's hospital floor or unit."
8316,"92133",CMPTR OPHTH IMG OPTIC NERVE,COMPUTERIZED OPHTHALMIC IMAGING OPTIC NERVE,"Scanning computerized ophthalmic diagnostic imaging, posterior segment, with interpretation and report, unilateral or bilateral; optic nerve"
8979,"97542",WHEELCHAIR MNGMENT TRAINING,WHEELCHAIR MGMT EA 15 MIN,"Wheelchair management (eg, assessment, fitting, training), each 15 minutes"
8464,"90686",FLU VAC NO PRSV 4 VAL 3 YRS,INFLUENZA VAC 4 VALENT PRSRV FREE 3 YRS PLUS IM,"Influenza virus vaccine, quadrivalent, split virus, preservative free, when administered to individuals 3 years of age and older, for intramuscular use"
9075,"0550F",CYTOPATH REPORT NONGYN SPCM,CYTOPATH REPORT ON NONGYN SPECIMEN 2 WKNG DAYS,Cytopathology report on routine nongynecologic specimen finalized within two working days of accession date (PATH)
8612,"93452",LEFT HRT CATH W/VENTRCLGRPH,L HRT CATH W/NJX L VENTRICULOGRAPHY IMG S&I,"Left heart catheterization including intraprocedural injection(s) for left ventriculography, imaging supervision and interpretation, when performed"
9203,"3045F",HG A1C LEVEL 7.0-9.0%,MOST RECENT HEMOGLOBIN A1C LEVEL GT 7.0-9.0 %,Most recent hemoglobin A1c (HbA1c) level 7.0-9.0% (DM)
8776,"95131",IMMNTX 2 STING INSECTS,PROF SVCS ALLG IMMNTX W/PRV XTRC 2 STING INSECT,"Professional services for allergen immunotherapy in the office or institution of the prescribing physician or other qualified health care professional, including provision of allergenic extract; 2 stinging insect venoms"
9215,"3085F",SUICIDE RISK ASSESSED,SUICIDE RISK ASSESSED,"Suicide risk assessed (MDD, MDD ADOL)"
9343,"4180F",ADJV THXPYRXD/RCVD COLON CA,ADJVNT CHEMO RFRRD RXD/RCVD STAGE III COLON CA,"Adjuvant chemotherapy referred, prescribed, or previously received for Stage III colon cancer (ONC)"
8980,"99056",MED SERVICE OUT OF OFFICE,SVC TYPICAL PRV OFFICE PRV OUT OFFICE REQUEST PT,"Service(s) typically provided in the office, provided out of the office at request of patient, in addition to basic service"
9475,"3115F",QUANT RESULTS ACTIVITY &SYM,QUANT RESULTS EVAL CURR LEVEL ACTIVITY CLIN SYMP,Quantitative results of an evaluation of current level of activity and clinical symptoms (HF)
9056,"99360",PHYSICIAN STANDBY SERVICES,PHYS STANDBY SVC PROLNG PHYS ATTN EA 30 MINUTES,"Standby service, requiring prolonged attendance, each 30 minutes (eg, operative standby, standby for frozen section, for cesarean/high risk delivery, for monitoring EEG)"
9659,"0338T",TRNSCTH RENAL SYMP DENRV UN,TRANSCATHETER RENAL SYMPATH DENERVATION UNILAT,"Transcatheter renal sympathetic denervation, percutaneous approach including arterial puncture, selective catheter placement(s) renal artery(ies), fluoroscopy, contrast injection(s), intraprocedural roadmapping and radiological supervision and interpretation, including pressure gradient measurements, flush aortogram and diagnostic renal angiography when performed; unilateral"
9176,"99220",INITIAL OBSERVATION CARE,INITIAL OBSERVATION CARE/DAY 70 MINUTES,"Initial observation care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission to ""observation status"" are of high severity. Typically, 70 minutes are spent at the bedside and on the patient's hospital floor or unit."
1,unknown,unknown,unknown,unknown
129,"01935",ANESTH PERC IMG DX SP PROC,ANESTHESIA PERQ IMAGE GUIDED SPINE DIAGNOSTIC,Anesthesia for percutaneous image guided procedures on the spine and spinal cord; diagnostic
257,"00124",ANESTH EAR EXAM,ANES EXTERNAL MIDDLE & INNER EAR W/BX OTOSCOPY,"Anesthesia for procedures on external, middle, and inner ear including biopsy; otoscopy"
385,"15003",WOUND PREP ADDL 100 CM,PREP SITE TRUNK/ARM/LEG ADDL 100 SQ CM/1PCT,"Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, trunk, arms, legs; each additional 100 sq cm, or part thereof, or each additional 1% of body area of infants and children (List separately in addition to code for primary procedure)"
38,"00540",ANESTH CHEST SURGERY,ANES THORACOTOMY & THORACOSCOPY NOS,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); not otherwise specified"
166,"25624",TREAT WRIST BONE FRACTURE,CLOSED TX CARPAL SCAPHOID FRACTURE W/MANJ,Closed treatment of carpal scaphoid (navicular) fracture; with manipulation
597,"11012",DEB SKIN BONE AT FX SITE,DBRDMT FX&/DISLC SUBQ T/M/F BONE,"Debridement including removal of foreign material at the site of an open fracture and/or an open dislocation (eg, excisional debridement); skin, subcutaneous tissue, muscle fascia, muscle, and bone"
270,"28140",REMOVAL OF METATARSAL,METATARSECTOMY,Metatarsectomy
685,"20660",APPLY REM FIXATION DEVICE,APPL CRANIAL TONG/STRTCTC FRAME W/REMOVAL SPX,"Application of cranial tongs, caliper, or stereotactic frame, including removal (separate procedure)"
366,"01500",ANESTH LEG ARTERIES SURG,ANESTHESIA ARTERIES LOWER LEG W/BYPASS GRAFT NOS,"Anesthesia for procedures on arteries of lower leg, including bypass graft; not otherwise specified"
494,"15824",REMOVAL OF FOREHEAD WRINKLE,RHYTIDECTOMY FOREHEAD,Rhytidectomy; forehead
901,"15936",REMOVE SACRUM PRESSURE SORE,EXC SAC PR ULC PREPJ MUSC/MYOQ FLAP/SKN GRF CLSR,"Excision, sacral pressure ulcer, in preparation for muscle or myocutaneous flap or skin graft closure;"
1029,"23480",REVISION OF COLLAR BONE,OSTEOTOMY CLAVICLE W/WO INTERNAL FIXATION,"Osteotomy, clavicle, with or without internal fixation;"
546,"11000",DEBRIDE INFECTED SKIN,DBRDMT EXTENSV ECZEMA/INFECT SKN UP 10% BDY SURF,Debridement of extensive eczematous or infected skin; up to 10% of body surface
674,"20690",APPLY BONE FIXATION DEVICE,APPLICATION UNIPLANE EXTERNAL FIXATION SYSTEM,"Application of a uniplane (pins or wires in 1 plane), unilateral, external fixation system"
802,"21182",RECONSTRUCT CRANIAL BONE,RCNSTJ ORBIT/FHD/NASETHMD EXCBONE TUM GRF<40SQCM,"Reconstruction of orbital walls, rims, forehead, nasoethmoid complex following intra- and extracranial excision of benign tumor of cranial bone (eg, fibrous dysplasia), with multiple autografts (includes obtaining grafts); total area of bone grafting less than 40 sq cm"
1213,"25215",REMOVAL OF WRIST BONES,CARPECTOMY ALL BONES PROXIMAL ROW,Carpectomy; all bones of proximal row
882,"19272",EXTENSIVE CHEST WALL SURGER,EXC CHEST TUMOR W/RCNSTJ W/MEDSTNL LMPHADEC,"Excision of chest wall tumor involving ribs, with plastic reconstruction; with mediastinal lymphadenectomy"
1321,"23466",REPAIR SHOULDER CAPSULE,CAPSULORRHAPHY GLENOHUMRL JT MULTI-DIRIONAL INS,"Capsulorrhaphy, glenohumeral joint, any type multi-directional instability"
1449,"24134",REMOVAL OF ARM BONE LESION,SEQUESTRECTOMY SHAFT/DISTAL HUMERUS,"Sequestrectomy (eg, for osteomyelitis or bone abscess), shaft or distal humerus"
1094,"23065",BIOPSY SHOULDER TISSUES,BIOPSY SOFT TISSUE SHOULDER SUPERFICIAL,"Biopsy, soft tissue of shoulder area; superficial"
1529,"27087",REMOVE HIP FOREIGN BODY,REMOVAL FOREIGN BODY PELVIS/HIP DEEP,"Removal of foreign body, pelvis or hip; deep (subfascial or intramuscular)"
1174,"24620",TREAT ELBOW FRACTURE,CLOSED TX MONTEGGIA FX DISLOCATION ELBOW W/MANJ,"Closed treatment of Monteggia type of fracture dislocation at elbow (fracture proximal end of ulna with dislocation of radial head), with manipulation"
1302,"25360",REVISION OF ULNA,OSTEOTOMY ULNA,Osteotomy; ulna
1757,"27692",REVISE ADDITIONAL LEG TENDO,TR/TRNSPL 1 TDN W/MUSC REDIRION/REROUTING EA TDN,Transfer or transplant of single tendon (with muscle redirection or rerouting); each additional tendon (List separately in addition to code for primary procedure)
1885,"28001",DRAINAGE OF BURSA OF FOOT,INCISION&DRAINAGE BURSA FOOT,"Incision and drainage, bursa, foot"
2013,"27418",REPAIR DEGENERATED KNEECAP,ANTERIOR TIBIAL TUBERCLEPLASTY,"Anterior tibial tubercleplasty (eg, Maquet type procedure)"
1442,"24650",TREAT RADIUS FRACTURE,CLOSED TX RADIAL HEAD/NECK FX W/O MANIPULATION,Closed treatment of radial head or neck fracture; without manipulation
1570,"25246",INJECTION FOR WRIST X-RAY,INJECTION WRIST ARTHROGRAPHY,Injection procedure for wrist arthrography
2033,"27487",REVISE/REPLACE KNEE JOINT,REVJ TOT KNEE ARTHRP FEM&ENTIRE TIBIAL COMPONE,"Revision of total knee arthroplasty, with or without allograft; femoral and entire tibial component"
2161,"27612",EXPLORATION OF ANKLE JOINT,ARTHRT PST CAPSUL RLS ANKLE W/WO ACHLL TDN LNGTH,"Arthrotomy, posterior capsular release, ankle, with or without Achilles tendon lengthening"
1766,"26530",REVISE KNUCKLE JOINT,ARTHROPLASTY METACARPOPHALANGEAL JOINT EACH,"Arthroplasty, metacarpophalangeal joint; each joint"
2229,"28102",REMOVE/GRAFT FOOT LESION,EXC/CURTG CST/B9 TUM TALUS/CLCNS W/ILIAC/AGRFT,"Excision or curettage of bone cyst or benign tumor, talus or calcaneus; with iliac or other autograft (includes obtaining graft)"
2357,"31511",REMOVE FOREIGN BODY LARYNX,LARYNGOSCOPY INDIRECT W/REMOVAL FOREIGN BODY,"Laryngoscopy, indirect; with removal of foreign body"
1954,"27345",REMOVAL OF KNEE CYST,EXCISION SYNOVIAL CYST POPLITEAL SPACE,"Excision of synovial cyst of popliteal space (eg, Baker's cyst)"
2437,"31830",REVISE WINDPIPE SCAR,REVISION TRACHEOSTOMY SCAR,Revision of tracheostomy scar
2565,"32607",THORACOSCOPY W/BX INFILTRAT,THORACOSCOPY W/DX BX OF LUNG INFILTRATE UNILATRL,"Thoracoscopy; with diagnostic biopsy(ies) of lung infiltrate(s) (eg, wedge, incisional), unilateral"
2693,"31610",INCISION OF WINDPIPE,TRACHEOSTOMY FENESTRATION W/SKIN FLAPS,"Tracheostomy, fenestration procedure with skin flaps"
2118,"27616",RESECT LEG/ANKLE TUM 5 CM/>,RAD RESECTION TUMOR SOFT TISSUE LEG/ANKLE 5 CM/>,"Radical resection of tumor (eg, sarcoma), soft tissue of leg or ankle area; 5 cm or greater"
2761,"33845",REMOVE AORTA CONSTRICTION,EXCISION COARCTATION AORTA W/WO PDA W/GRAFT,"Excision of coarctation of aorta, with or without associated patent ductus arteriosus; with graft"
2889,"34813",FEMORAL ENDOVAS GRAFT ADD-O,PLMT FEM-FEM PROSTC GRF EVASC AORTIC ARYSM RPR,Placement of femoral-femoral prosthetic graft during endovascular aortic aneurysm repair (List separately in addition to code for primary procedure)
2354,"31605",INCISION OF WINDPIPE,TRACHEOSTOMY EMERGENCY CRICOTHYROID MEMBRANE,"Tracheostomy, emergency procedure; cricothyroid membrane"
2969,"33505",REPAIR ARTERY W/TUNNEL,RPR ANOM CORON ART W/CONSTJ INTRAPULM ART TUNNEL,Repair of anomalous coronary artery from pulmonary artery origin; with construction of intrapulmonary artery tunnel (Takeuchi procedure)
2450,"29806",SHOULDER ARTHROSCOPY/SURGER,ARTHROSCOPY SHOULDER SURGICAL CAPSULORRHAPHY,"Arthroscopy, shoulder, surgical; capsulorrhaphy"
2578,"30801",ABLATE INF TURBINATE SUPERF,ABLTJ SOFT TIS INFERIOR TURBINATES UNI/BI SUPFC,"Ablation, soft tissue of inferior turbinates, unilateral or bilateral, any method (eg, electrocautery, radiofrequency ablation, or tissue volume reduction); superficial"
3157,"35022",REPAIR ARTERY RUPTURE CHEST,DIR RPR RUPTD ANEURYSM INNOMINATE/SUBCLAVIAN,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, innominate, subclavian artery, by thoracic incision"
2706,"33610",REPAIR BY ENLARGEMENT,RPR CAR ANOMAL SURG ENLGMENT VENTR SEPTL DFCT,"Repair of complex cardiac anomalies (eg, single ventricle with subaortic obstruction) by surgical enlargement of ventricular septal defect"
3249,"38242",TRANSPLT ALLO LYMPHOCYTES,ALLOGENEIC LYMPHOCYTE INFUSIONS,Allogeneic lymphocyte infusions
2798,"32540",REMOVAL OF LUNG LESION,EXTRAPLEURAL ENUCLEATION EMPYEMA EMPYEMECTOMY,Extrapleural enucleation of empyema (empyemectomy)
2926,"33256",ABLATE ATRIA W/BYPASS EXTEN,ABLATION & RCNSTJ ATRIA EXTNSV W/BYPASS,"Operative tissue ablation and reconstruction of atria, extensive (eg, maze procedure); with cardiopulmonary bypass"
3473,"36835",ARTERY TO VEIN SHUNT,INSERTION THOMAS SHUNT SEPARATE PROCEDURE,Insertion of Thomas shunt (separate procedure)
3002,"35331",RECHANNELING OF ARTERY,TEAEC W/WO PATCH GRAFT ABDOMINAL AORTA,"Thromboendarterectomy, including patch graft, if performed; abdominal aorta"
3130,"34530",LEG VEIN FUSION,SAPHENOPOPLITEAL VEIN ANASTOMOSIS,Saphenopopliteal vein anastomosis
3561,"43259",EGD US EXAM DUODENUM/JEJUNU,EDG US EXAM SURGICAL ALTER STOM DUODENUM/JEJUNUM,"Esophagogastroduodenoscopy, flexible, transoral; with endoscopic ultrasound examination, including the esophagus, stomach, and either the duodenum or a surgically altered stomach where the jejunum is examined distal to the anastomosis"
3689,"42104",EXCISION LESION MOUTH ROOF,EXC LESION PALATE UVULA W/O CLOSURE,"Excision, lesion of palate, uvula; without closure"
3817,"42961",CONTROL THROAT BLEEDING,CTRL OROPHARYNGEAL HEMORRHAGE COMP REQ HOSPITJ,"Control oropharyngeal hemorrhage, primary or secondary (eg, post-tonsillectomy); complicated, requiring hospitalization"
3310,"37618",LIGATION OF EXTREMITY ARTER,LIGATION MAJOR ARTERY EXTREMITY,"Ligation, major artery (eg, post-traumatic, rupture); extremity"
3901,"43840",REPAIR OF STOMACH LESION,GASTRORRHAPHY SUTR PRF8 DUOL/GSTR ULCER WND/INJ,"Gastrorrhaphy, suture of perforated duodenal or gastric ulcer, wound, or injury"
4029,"47381",OPEN ABLATE LIVER TUMOR CRY,ABLTJ OPN 1/> LVR TUM CRYOSURG,"Ablation, open, of 1 or more liver tumor(s); cryosurgical"
3518,"43191",ESOPHAGOSCOPY RIGID TRNSO D,ESOPHAGOSCOPY RIGID TRANSORAL DIAGNOSTIC BRUSH,"Esophagoscopy, rigid, transoral; diagnostic, including collection of specimen(s) by brushing or washing when performed (separate procedure)"
3646,"43453",DILATE ESOPHAGUS,DILATION ESOPHAGUS GUIDE WIRE,"Dilation of esophagus, over guide wire"
4097,"50020",RENAL ABSCESS OPEN DRAIN,DRAINAGE PERIRENAL/RENAL ABSCESS OPEN,"Drainage of perirenal or renal abscess, open"
3722,"41005",DRAINAGE OF MOUTH LESION,INTRAORAL I&D TONGUE/FLOOR SUBLNGL SUPFC,"Intraoral incision and drainage of abscess, cyst, or hematoma of tongue or floor of mouth; sublingual, superficial"
3850,"45123",PARTIAL PROCTECTOMY,PRCTECT PRTL W/O ANAST PRNL APPR,"Proctectomy, partial, without anastomosis, perineal approach"
